3176557924;Русаков;Спиридон;Георгиевич;2003-07-19;79660832368;к. Эльбрус, ул. Победы, д. 2/3 к. 5, 506059
4822241917;Архипова;Мария;Вячеславовна;1994-08-12;79019618504;д. Белоярский, пер. Стахановский, д. 5/4 стр. 4/3, 076346
3104161283;Наина;Рубеновна;Ильина;2016-07-11;79723631682;клх Байкальск, бул. Гайдара, д. 72, 618149
2118437429;Савельев;Леон;Тимурович;1987-01-11;79662118499;п. Урус-Мартан, пер. Смирнова, д. 8 к. 71, 801866
4103328931;Евсеев;Поликарп;Ермилович;2003-12-04;79991739111;д. Нижнеудинск, ш. Алтайское, д. 5 к. 383, 338053
4548509558;Наум;Афанасьевич;Крылов;1991-11-28;79842271755;клх Тымовское, ул. Снежная, д. 6 стр. 681, 256600
4548408849;Стрелкова;Ульяна;Федоровна;1978-08-24;79074738409;клх Щельяюр, ш. Карбышева, д. 7 стр. 3, 202423
2589691352;тов.;Новикова;Василиса;1985-05-07;79881921878;ст. Жиганск, ул. Энергетиков, д. 929 к. 8, 714072
2971402063;Эмилия;Георгиевна;Егорова;1985-09-02;79652081932;к. Джубга, бул. Запрудный, д. 9, 938074
4246955622;Стоян;Давидович;Наумов;1993-06-08;79221042062;ст. Волгоград, алл. Октябрьская, д. 339 к. 6, 961229
2701621992;Дементьев;Ипполит;Филиппович;2001-11-19;79761426414;ст. Льгов, бул. Крымский, д. 4/1 к. 96, 301125
2579101142;Иванов;Петр;Адрианович;1988-12-18;79088744258;с. Поронайск, пер. Фабричный, д. 4 к. 17, 616946
2528614720;Ковалев;Панкрат;Давидович;1990-07-28;79352271863;клх Колпашево, алл. Брянская, д. 1 стр. 877, 584674
4435421417;Устинов;Клавдий;Давидович;2006-02-02;79854473784;г. Новочеркасск, наб. Элеваторная, д. 53 стр. 4/1, 700513
4899964748;Ковалев;Наркис;Федосьевич;2013-06-28;79108820482;с. Партизанск, наб. Светлая, д. 441 стр. 6/3, 057390
3002215277;Авдеева;Маргарита;Сергеевна;1990-08-09;79493801075;к. Забайкальск, пр. Суворова, д. 745, 674286
4580077668;Лариса;Николаевна;Медведева;2005-02-21;79928250741;к. Кашхатау, ш. Транспортное, д. 7 стр. 4, 546491
2647289296;Хохлова;Марфа;Феликсовна;1986-11-02;79032812257;д. Шуя, алл. Войкова, д. 9/5 к. 35, 864427
3401730844;Назаров;Эмиль;Ефимович;1982-08-31;79667625837;п. Вуктыл, ш. Красногвардейское, д. 94 к. 9, 861559
3247123413;Гусева;Елизавета;Степановна;1992-09-29;79186967600;клх Лесной (Сверд.), ш. Щербакова, д. 2/7 к. 846, 315574
3595297553;Пелагея;Романовна;Мясникова;1982-06-02;79439132484;г. Подольск, ш. Рабочее, д. 9/1 стр. 430, 657725
4544728537;Панфилова;Ирина;Владимировна;2020-09-30;79444876477;к. Яр-Сале, пер. Родниковый, д. 98, 515242
4510307313;Зоя;Борисовна;Гордеева;1984-07-20;79365473811;с. Дмитров, пр. Журавлева, д. 37, 639896
2695538532;Иванна;Макаровна;Евсеева;1975-08-24;79343075166;к. Орехово-Зуево, пр. Степной, д. 318 к. 247, 424212
4320763577;Федот;Денисович;Беспалов;2010-01-03;79752633823;с. Бронницы, пер. Матросова, д. 359, 658961
4741140040;Аскольд;Венедиктович;Зимин;1991-07-25;79550959605;ст. Гагарин, алл. Маркса Карла, д. 61, 522975
